Item Number,Account Code,QtyBuy,Qty Requested,Qty Shipped,Unit Cost AVG,Sub Total AVG,Total value,Days AVG,Qty on Hand,Cost,Location 2,Location 3,Location 4
RKWT-4/3-632-/2m,0000-2400-24,6,5,5,119.3383,114.6133,687.68,318,2,95,Upstairs (Cage Area),Rack 2B,Row 5
4668167,0000-2400-24,11,26,26,157.7554,402.659,4429.25,299,6,119,Upstairs (Cage Area),Rack 2A,Row 3
461-2430,0000-2400-24,11,19,19,185.3145,311.3109,3424.42,294,6,152.48,Upstairs (Cage Area),In Cabinet,Row 4
BME-NOC-0301,0000-2400-22,8,15,15,1709.8,3134.1775,25073.42,285,1,1758.81,Upstairs (Cage Area),Rack 1,Row 1
RTD 3046-26,0000-2400-24,10,24,23,332.14,745.44,7454.4,273,3,495,Upstairs (Cage Area),Rack 2A,Row 5
460-3220,0000-2400-24,13,37,37,261.6515,724.7923,9422.3,266,2,187.72,Upstairs (Cage Area),In Cabinet,Row 3
4604682,0000-2400-24,10,12,12,189.927,227.191,2271.91,265,4,82.4,Upstairs (Cage Area),In Cabinet,Row 3
PVP3336C2R26A421,0000-2400-22,10,13,13,3595.066,4778.622,47786.22,259,6,4326.3,Floor (In Cage),Rack 3,Row 3
FDB-Frequency Divider Board,0000-2400-22,17,22,22,278.9017,356.4576,6059.78,250,24,234.6,Upstairs (Cage Area),Rack 1,Row 4
2703512,0000-2400-22,17,31,30,214.1394,394.3382,6703.75,248,3,215.87,Upstairs (Cage Area),Rack 2B,Row 3
Nozzle-0.80,0000-2400-24,4,1,1,325.325,52.3,209.2,245,3,395,Upstairs (Cage Area),In Cabinet,Row 1
4604941,0000-2400-24,16,29,29,160.1068,280.5431,4488.69,241,3,128.28,Upstairs (Cage Area),In Cabinet,Row 4
AltrimImping-NEWCertTest-.85mm,0000-2400-24,9,1,1,5404.8155,845.5811,7610.23,240,1,6139.07,Floor (In Cage),Mesh Rack,Row 3
E2A-M18 KS08-M1B1,0000-2400-24,12,4,4,196.2233,112.1891,1346.27,239,3,100,Upstairs (Cage Area),Rack 2B,Row 5
DBDS 10 G1X/200/12,0000-2400-22,14,20,19,387.4142,522.0321,7308.45,222,3,540.27,Upstairs (Cage Area),Rack 2C,Row 8
461-6497,0000-2400-24,18,33,33,214.9611,394.8444,7107.2,217,6,187.72,Upstairs (Cage Area),In Cabinet,Row 5
40325,0000-2400-24,19,20,19,1932.4157,1990.9726,37828.48,207,1,2025.45,Upstairs (Cage Area),Rack 1,Row 2
725810,0000-2400-24,16,453,453,3.2525,95.7087,1531.34,202,19,2.86,Upstairs (Cage Area),In Cabinet,Row 6
4648873,0000-2400-24,5,35,35,3.02,21.14,105.7,195,32,2.68,Upstairs (Cage Area),In Cabinet,Row 6
SC8210G95 (120 VAC),0000-2400-22,24,39,39,190.4029,325.6425,7815.42,190,2,251.3,Upstairs (Cage Area),Rack 1,Row 5
PVP4836CR26A2/PGP511A018,0000-2400-22,31,31,30,4097.7267,4250.9151,131778.37,185,6,5195.74,Floor (In Cage),Rack 3,Row 3
Nozzle 1.05mm*Sapphire,0000-2400-24,3,8,6,1822.0533,5085.9,15257.7,183,1,1880.6,Upstairs (Cage Area),In Cabinet,Row 1
BS8151-O/PG 9  U-6570,0000-2400-24,1,20,20,11.1,222,222,182,18,9.84,Upstairs (Cage Area),Rack 2B,Row 2
AltrimImpingRefurReCert-1.00mm,0000-2400-24,19,13,13,2713.9636,1985.3373,37721.41,179,3,2987.65,Floor (In Cage),Mesh Rack,Row 1
2703513,0000-2400-22,17,31,31,228.8864,403.9935,6867.89,179,2,240.62,Upstairs (Cage Area),Rack 2B,Row 4
